text,label
"  Applications of deep learning to automatic multitrack mixing are largely unexplored. This is partly due to the limited available data, coupled with the fact that such data is relatively unstructured and variable. To address these challenges, we propose a domain-inspired model with a strong inductive bias for the mixing task. We achieve this with the application of pre-trained sub-networks and weight sharing, as well as with a sum/difference stereo loss function. The proposed model can be trained with a limited number of examples, is permutation invariant with respect to the input ordering, and places no limit on the number of input sources. Furthermore, it produces human-readable mixing parameters, allowing users to manually adjust or refine the generated mix. Results from a perceptual evaluation involving audio engineers indicate that our approach generates mixes that outperform baseline approaches. To the best of our knowledge, this work demonstrates the first approach in learning multitrack mixing conventions from real-world data at the waveform level, without knowledge of the underlying mixing parameters. ",electrical engineering and systems science
"  A local UV cutoff $\Lambda(x)$ transforming under Weyl rescalings allows to construct Weyl invariant kinetic terms for scalar fields including Wilsonian cutoff functions. First we consider scalar fields in curved space-time with local bare couplings of any canonical dimension, and anomalous dimensions which describe their dependence on the UV cutoff. The local component of the UV cutoff plays the role of an additional coupling, albeit with a trivial constant $\beta$ function. This approach allows to derive Weyl consistency conditions for the corresponding anomalous dimensions which assume the form of an exact gradient flow. For renormalizable theories the Weyl consistency conditions are initially of the form of an approximate gradient flow for the $\beta$ functions, and we derive conditions under which it becomes the form of an exact gradient flow. ",high energy physics theory
  We present a template-free method of estimating pulse height of micro-calorimeter signals based on principal component analysis (PCA). The method is shown to improve the resolution on a simulated dataset by 25\% compared to the standard filtering technique that uses the averaged pulse as an estimation for the signal template. This technique is useful for reconstruction of pulses in micro-calorimeters with a high degree of pulse-shape variation where finding the correct signal templates is difficult. ,physics
"  We consider groups defined by non-empty balanced presentations with the property that each relator is of the form R(x,y), where x and y are distinct generators and R(.,.) is determined by some fixed cyclically reduced word R(a,b) that involves both a and b. To every such presentation we associate a directed graph whose vertices correspond to the generators and whose arcs correspond to the relators. Under the hypothesis that the girth of the underlying undirected graph is at least 4, we show that the resulting groups are non-trivial and cannot be finite of rank 3 or higher. Without the hypothesis on the girth it is well known that both the trivial group and finite groups of rank 3 can arise. ",mathematics
"  Prestellar cores are self-gravitating dense and cold structures within molecular clouds where future stars are born. They are expected, at the stage of transitioning to the protostellar phase, to harbor centrally concentrated dense (sub)structures that will seed the formation of a new star or the binary/multiple stellar systems. Characterizing this critical stage of evolution is key to our understanding of star formation. In this work, we report the detection of high density (sub)structures on the thousand-au scale in a sample of dense prestellar cores. Through our recent ALMA observations towards the Orion molecular cloud, we have found five extremely dense prestellar cores, which have centrally concentrated regions $\sim$ 2000 au in size, and several $10^7$ $cm^{-3}$ in average density. Masses of these centrally dense regions are in the range of 0.30 to 6.89 M$_\odot$. {\it For the first time}, our higher resolution observations (0.8$'' \sim $ 320 au) further reveal that one of the cores shows clear signatures of fragmentation; such individual substructures/fragments have sizes of 800 -1700 au, masses of 0.08 to 0.84 M$_\odot$, densities of $2 - 8\times 10^7$ $cm^{-3}$ and separations of $\sim 1200$ au. The substructures are massive enough ($\gtrsim 0.1~M_\odot$) to form young stellar objects and are likely examples of the earliest stage of stellar embryos which can lead to widely ($\sim$ 1200 au) separated multiple systems. ",astrophysics
"  Tuning the near-field using all-dielectric nano-antennae offers a promising approach for trapping atoms, which could enable strong single-atom/photon coupling. Here we report the simulation results of an optical trapping concept, in which a silicon nano-antenna produces a trapping potential for atoms in a chip-scale configuration. Using counter-propagating incident fields, bichromatically detuned from the atomic cesium D-lines, we numerically investigate the dependence of the optical potential on the nano-antenna geometry. We tailor the near-field potential landscape by tuning the evanescent field of the waveguide using a toroidal nano-antenna, a configuration that enables trapping of ultracold Cs atoms. ",physics
"  Nontrivial topology in bulk matter has been linked with the existence of topologically protected interfacial states. We show that a gaseous plasmon polariton (GPP), an electromagnetic surface wave existing at the boundary of magnetized plasma and vacuum, has a topological origin that arises from the nontrivial topology of magnetized plasma. Because a gaseous plasma cannot sustain a sharp interface with discontinuous density, one must consider a gradual density falloff with scale length comparable or longer than the wavelength of the wave. We show that the GPP may be found within a gapped spectrum in present-day laboratory devices, suggesting that platforms are currently available for experimental investigation of topological wave physics in plasmas. ",physics
"  Let $(U_n)_{n\geq 0}$ be a fixed linear recurrence sequence of integers with order at least two, and for any positive integer $\ell$, let $\ell \cdot 2^{\ell} + 1$ be a Cullen number. Recently in \cite{bmt}, generalized Cullen numbers in terms of linear recurrence sequence $(U_n)_{n\geq 0}$ under certain weak assumptions has been studied. However, there is an error in their proof. In this paper, we generalize their work, as well as our result fixes their error. In particular, for a given polynomial $Q(x) \in \mathbb{Z}[x]$ we consider the Diophantine equation $U_{n_1} + \cdots + U_{n_k} = \ell \cdot x^{\ell} + Q(x)$, and prove effective finiteness result. Furthermore, we demonstrate our method by an example. ",mathematics
"  Efficient screening of chemicals is essential for exploring new materials. However, the search space is astronomically large, making calculations with conventional computers infeasible. For example, an $N$-component system of organic molecules generates >$10^{60N}$ candidates. Here, a quantum-inspired annealing machine is used to tackle the challenge of the large search space. The prototype system extracts candidate chemicals and their composites with desirable parameters, such as melting temperature and ionic conductivity. The system can be at least $10^4$-$10^7$ times faster than conventional approaches. Such exponential acceleration is critical for exploring the enormous search space in virtual screening. ",physics
"  de Sitter vacuum of nonconformal gauge theories is non-equilibrium, manifested by a nonvanishing rate of the comoving entropy production at asymptotically late times. This entropy production rate is related to the entanglement entropy of the de Sitter vacuum of the theory. We use holographic correspondence to compute vacuum entanglement entropy density $s_{ent}$ of mass deformed ${\cal N}=4$ supersymmetric Yang-Mills theory - the ${\cal N}=2^*$ gauge theory - for various values of the masses and the coupling constant to the background space-time curvature. For a particular choice of the curvature coupling, the Euclidean model can be solved exactly using the supersymmetric localization. We show that ${\cal N}=2^*$ de Sitter entanglement entropy is not the thermodynamic entropy of the localization free energy at de Sitter temperature. Neither it is related to the thermal entropy of de Sitter vacuum of pair-produced particles. ",high energy physics theory
"  Using detrended fluctuation analysis (DFA) and rescaled range (R/S) analysis, we investigate the scaling properties of EUV intensity fluctuations of low-latitude coronal holes (CHs) and neighboring quiet-Sun (QS) regions in signals obtained with the Solar Dynamics Observatory/Atmospheric Imaging Assembly (SDO/AIA) instrument. Contemporaneous line-of-sight SDO/Helioseismic and Magnetic Imager (HMI) magnetic fields provide a context for the physical environment. We find that the intensity fluctuations in the time series of EUV images present at each spatial point a scaling symmetry over the range $\sim 20$ min to $\sim$ 1 hour. Thus we are able to calculate a generalized Hurst exponent and produce image maps, not of physical quantities like intensity or temperature, but of a single dynamical parameter that sums up the statistical nature of the intensity fluctuations at each pixel. In quiet-Sun (QS) regions and in coronal holes (CHs) with magnetic bipoles, the scaling exponent ($1.0 < \alpha \leq 1.5$) corresponds to anti-correlated turbulent-like processes. In coronal holes, and in quiet-Sun regions primarily associated with (open) magnetic field of dominant polarity, the generalized exponent (0.5 $< \alpha <$ 1) corresponds to positively-correlated (persistent) processes. We identify a tendency for $\alpha$ $\sim$ $1$ near coronal hole boundaries and in other regions in which open and closed magnetic fields are in proximity. This is a signature of an underlying $1/f$ type process that is characteristic for self-organized criticality and shot-noise models. ",astrophysics
"  This investigation reports on the results of convolutional neural networks developed for the recently introduced PathologicAL Myopia (PALM) dataset, which consists of 1200 fundus images. We propose a new Optic Nerve Head (ONH)-based prediction enhancement for the segmentation of atrophy and fovea. Models trained with 400 available training images achieved an AUC of 0.9867 for pathological myopia classification, and a Euclidean distance of 58.27 pixels on the fovea localization task, evaluated on a test set of 400 images. Dice and F1 metrics for semantic segmentation of lesions scored 0.9303 and 0.9869 on optic disc, 0.8001 and 0.9135 on retinal atrophy, and 0.8073 and 0.7059 on retinal detachment, respectively. Our work was acknowledged with an award in the context of the ""PathologicAL Myopia detection from retinal images"" challenge held during the IEEE International Symposium on Biomedical Imaging (April 2019). Considering that (pathological) myopia cases are often identified as false positives and negatives in classification systems for glaucoma, we envision that the current work could aid in future research to discriminate between glaucomatous and highly-myopic eyes, complemented by the localization and segmentation of landmarks such as fovea, optic disc and atrophy. ",electrical engineering and systems science
"  Backstepping based controller and observer models were designed for higher order linear and nonlinear Schr\""odinger equations on a finite interval in Part I of this study where the controller was assumed to be acting from the left endpoint of the medium. In this companion paper, we further the analysis by considering boundary controller(s) acting at the right endpoint of the domain. It turns out that the problem is more challenging in this scenario as the associated boundary value problem for the backstepping kernel becomes overdetermined and lacks a smooth solution. The latter is essential to switch back and forth between the original plant and the so called target system. To overcome this difficulty we rely on the strategy of using an imperfect kernel, namely one of the boundary conditions in kernel PDE model is disregarded. The drawback is that one loses rapid stabilization in comparison with the left endpoint controllability. Nevertheless, the exponential decay of the $L^2$-norm with a certain rate still holds. The observer design is associated with new challenges from the point of view of wellposedness and one has to prove smoothing properties for an associated initial boundary value problem with inhomogeneous boundary data. This problem is solved by using Laplace transform in time. However, the Bromwich integral that inverts the transformed solution is associated with certain analyticity issues which are treated through a subtle analysis. Numerical algorithms and simulations verifying the theoretical results are given. ",mathematics
"  We investigate the possibility that the geometry dual to a typical AdS black hole microstate corresponds to the extended AdS-Schwarzschild geometry, including a region spacelike to the exterior. We argue that this region can be described by the mirror operators, a set of state-dependent operators in the dual CFT. We probe the geometry of a typical state by considering state-dependent deformations of the CFT Hamiltonian, which have an interpretation as a one-sided analogue of the Gao-Jafferis-Wall traversable wormhole protocol for typical states. We argue that the validity of the conjectured bulk geometry requires that out-of-time-order correlators of simple CFT operators on typical pure states must exhibit the same chaotic effects as thermal correlators at scrambling time. This condition is related to the question of whether the product of operators separated by scrambling time obey the Eigenstate Thermalization Hypothesis. We investigate some of these statements in the SYK model and discuss similarities with state-dependent perturbations of pure states in the SYK model previously considered by Kourkoulou and Maldacena. Finally, we discuss how the mirror operators can be used to implement an analogue of the Hayden-Preskill protocol. ",high energy physics theory
"  We propose a set of equations as a simple model for non singular evolutions of a $10 + 1$ dimensional M theory universe. Our model uses ideas from Loop Quantum Cosmology and offers a solution to the important problem of singularity resolutions. We solve the equations numerically and find that an M theory universe in this model evolves non singularly and with a bounce : going back in time, its density reaches a maximum and decreases thereafter whereas its physical size reaches a non vanishing minimum and increases thereafter. Taking the constituents of the universe to be the most entropic ones (which are four sets of intersecting M branes) leads to an effectively $3 + 1$ dimensional spacetime as the M theory universe expands, both in the infinite past and future. ",high energy physics theory
"  Recent work has characterized the various inequalities that entanglement entropies represented by min-cuts on hypergraphs will satisfy. This collection, the hypergraph entropy cone, can be seen as a generalization of the holographic entropy cone which describes the entropies given by both min-cuts on 2-graphs and those of holographic states in AdS/CFT. In this article we describe a generalization of bit threads which allows us to describe max multiflows on hypergraphs. We further comment on its properties and interpretation in holography. ",high energy physics theory
"  Tensor network operators, such as the matrix product operator (MPO) and the projected entangled-pair operator (PEPO), can provide efficient representation of certain linear operators in high dimensional spaces. This paper focuses on the efficient representation of tensor network operators with long-range pairwise interactions such as the Coulomb interaction. For MPOs, we find that all existing efficient methods exploit a peculiar ""upper-triangular low-rank"" (UTLR) property, i.e. the upper-triangular part of the matrix can be well approximated by a low-rank matrix, while the matrix itself can be full-rank. This allows us to convert the problem of finding the efficient MPO representation into a matrix completion problem. We develop a modified incremental singular value decomposition method (ISVD) to solve this ill-conditioned matrix completion problem. This algorithm yields equivalent MPO representation to that developed in [Stoudenmire and White, Phys. Rev. Lett. 2017]. In order to efficiently treat more general tensor network operators, we develop another strategy for compressing tensor network operators based on hierarchical low-rank matrix formats, such as the hierarchical off-diagonal low-rank (HODLR) format, and the $\mathcal{H}$-matrix format. Though the pre-constant in the complexity is larger, the advantage of using the hierarchical low-rank matrix format is that it is applicable to both MPOs and PEPOs. For the Coulomb interaction, the operator can be represented by a linear combination of $\mathcal{O}(\log(N)\log(N/\epsilon))$ MPOs/PEPOs, each with a constant bond dimension, where $N$ is the system size and $\epsilon$ is the accuracy of the low-rank truncation. Neither the modified ISVD nor the hierarchical low-rank algorithm assumes that the long-range interaction takes a translation-invariant form. ",physics
"  Photothermal effects have been pointed out as prominent sources of forces in optomechanical systems, competing with the standard radiation pressure interactions. In this Letter, we derive a novel and accurate model for the prediction of photothermal forces. Based on thermodynamic considerations, we properly account for strong photothermal surface effects. As a proof-of-concept, we perform numerical and experimental tests on GaAs microdisks cavities and obtain striking agreement with our theoretical framework, revealing the importance of surface photothermal forces in microphotonic devices. ",physics
"  We demonstrate that categories of continuous actions of topological monoids on discrete spaces are Grothendieck toposes. We exhibit properties of these toposes, giving a solution to the corresponding Morita-equivalence problem. We characterize these toposes in terms of their canonical points. We identify natural classes of representatives with good topological properties, `powder monoids' and then `complete monoids', for the Morita-equivalence classes of topological monoids. Finally, we show that the construction of these toposes can be made (2-)functorial by considering geometric morphisms induced by continuous semigroup homomorphisms. ",mathematics
"  Neutral uranium (U I) is a very difficult atom for theoretical calculations due to a large number of valence electrons, six, strong valence-valence and valence-core correlations, high density of states, and relativistic effects. Configuration-interaction many-body perturbation theory (CI-MBPT) can treat efficiently valence-core correlations and relativistic effects, but because the formalism was developed for Dirac-Hartree-Fock (DHF) starting potential that does not contain valence electrons, quite large CI space is needed to compensate for +6 charge of such a potential. Much more efficient is relativistic configuration-interaction (RCI) approach which uses relatively accurate starting DHF potential that includes some valence electrons to make the valence electron Hamiltonian diagonally dominated for some states. Here we report calculations of U I hyperfine constants of several low-energy states using the RCI method with the starting potential that includes four f valence electrons. With this starting potential, it is possible to use the single-configuration approximation or small basis sets to obtain quite accurate results for hyperfine structure constants. In fact, by scaling nuclear magnetic moment, the agreement for 5 levels was within 5\%, and a new magnetic moment can be recommended 0.43(2). The method can be further developed to include more extensive data sets to improve accuracy and can be applied to other atoms and for calculations of other properties, for example, relevant to fundamental symmetry tests. ",physics
"  Coherent steering of a quantum state, induced by a sequence of weak measurements, has become an active area of theoretical and experimental study. For a closed steered trajectory, the underlying phase factors involve both geometrical and dynamical terms. Furthermore, considering the reversal of the order of the measurement sequence, such a phase comprises a symmetric and an antisymmetric term. Superseding common wisdom, we show that the symmetric and the antisymmetric components do not correspond to the dynamical and geometrical parts respectively. Addressing a broad class of measurement protocols, we further investigate the dependence of the induced phases on the measurement parameters (e.g., the measurement strength). We find transitions between different topologically distinct sectors, defined by integer-valued winding numbers, and show that the transitions are accompanied by diverging dephasing. We propose experimental protocols to observe these effects. ",quantum physics
"  We report on NICER observations of the Magnetar SGR~1935+2154, covering its 2020 burst storm and long-term persistent emission evolution up to $\sim90$ days post outburst. During the first 1120~seconds taken on April 28 00:40:58 UTC we detect over 217 bursts, corresponding to a burst rate of $>0.2$ bursts s$^{-1}$. Three hours later the rate is at 0.008 bursts s$^{-1}$, remaining at a comparatively low level thereafter. The $T_{90}$ burst duration distribution peaks at 840~ms; the distribution of waiting times to the next burst is fit with a log-normal with an average of 2.1 s. The 1-10 keV burst spectra are well fit by a blackbody, with an average temperature and area of $kT=1.7$ keV and $R^2=53$ km$^2$. The differential burst fluence distribution over $\sim3$ orders of magnitude is well modeled with a power-law form $dN/dF\propto F^{-1.5\pm0.1}$. The source persistent emission pulse profile is double-peaked hours after the burst storm. We find that the bursts peak arrival times follow a uniform distribution in pulse phase, though the fast radio burst associated with the source aligns in phase with the brighter peak. We measure the source spin-down from heavy-cadence observations covering days 21 to 39 post-outburst, $\dot\nu=-3.72(3)\times10^{-12}$ Hz s$^{-1}$; a factor 2.7 larger than the value measured after the 2014 outburst. Finally, the persistent emission flux and blackbody temperature decrease rapidly in the early stages of the outburst, reaching quiescence 40 days later, while the size of the emitting area remains unchanged. ",astrophysics
"  Aims. Formamide (HCONH2) is the simplest molecule containing the peptide bond first detected in the gas phase in Orion-KL and SgrB2. In recent years, it has been observed in high temperature regions such as hot corinos, where thermal desorption is responsible for the sublimation of frozen mantles into the gas phase. The interpretation of observations can benefit from information gathered in the laboratory, where it is possible to simulate the thermal desorption process and to study formamide under simulated space conditions such as UV irradiation. Methods. Here, two laboratory analyses are reported: we studied formamide photo-stability under UV irradiation when it is adsorbed by space relevant minerals at 63 K and in the vacuum regime. We also investigated temperature programmed desorption of pure formamide ice in the presence of TiO2 dust before and after UV irradiation. Results. Through these analyses, the effects of UV degradation and the interaction between formamide and different minerals are compared.We find that silicates, both hydrates and anhydrates, offer molecules a higher level of protection from UV degradation than mineral oxides. The desorption temperature found for pure formamide is 220 K. The desorption temperature increases to 250 K when the formamide desorbs from the surface of TiO2 grains. Conclusions. Through the experiments outlined here, it is possible to follow the desorption of formamide and its fragments, simulate the desorption process in star forming regions and hot corinos, and constrain parameters such as the thermal desorption temperature of formamide and its fragments and the binding energies involved. Our results offer support to observational data and improve our understanding of the role of the grain surface in enriching the chemistry in space. ",astrophysics
"  VC-dimension and VC-density are measures of combinatorial complexity of set systems. VC-dimension was first introduced in the context of statistical learning theory, and is tightly related to the sample complexity in PAC learning. VC-density is a refinement of VC-dimension. Both notions are also studied in model theory, in the context of \emph{dependent} theories. A set system that is definable by a formula of first-order logic with parameters has finite VC-dimension if and only if the formula is a dependent formula.   In this paper we study the VC-dimension and the VC-density of the edge relation $Exy$ on Johnson graphs and on Hamming graphs. On a graph $G$, the set system defined by the formula $Exy$ is the vertex set of $G$ along with the collection of all \emph{open neighbourhoods} of $G$.   We show that the edge relation has VC-dimension at most $4$ on Johnson graphs and at most $3$ on Hamming graphs and these bounds are optimal.   We furthermore show that the VC-density of the edge relation on the class of all Johnson graphs is $2$, and on the class of all Hamming graphs the VC-density is $2$ as well. Moreover, we show that our bounds on the VC-dimension carry over to the class of all induced subgraphs of Johnson graphs, and to the class of all induced subgraphs of Hamming graphs, respectively. It also follows that the VC-dimension of the set systems of \emph{closed neighbourhoods} in Johnson graphs and Hamming graphs is bounded.   Johnson graphs and Hamming graphs are well known examples of distance transitive graphs.   Neither of these graph classes is nowhere dense nor is there a bound on their (local) clique-width.   Our results contrast this by giving evidence of structural tameness of the graph classes. ",mathematics
"  We consider dynamics of scalar and vector fields on gravitational backgrounds of the Wess-Zumino-Witten models. For SO(4) and its cosets, we demonstrate full separation of variables for all fields and find a close analogy with a similar separation of vector equations in the backgrounds of the Myers--Perry black holes. For SO(5) and higher groups separation of variables is found only in some subsectors. ",high energy physics theory
"  We derive the asymptotic symmetries of the manifestly duality invariant formulation of electromagnetism in Minkoswki space. We show that the action is invariant under two algebras of angle-dependent $u(1)$ transformations, one electric and the other magnetic. As in the standard electric formulation, Lorentz invariance requires the addition of additional boundary degrees of freedom at infinity, found here to be of both electric and magnetic types. A notable feature of this duality symmetric formulation, which we comment upon, is that the on-shell values of the zero modes of the gauge generators are equal to only half of the electric and magnetic fluxes (the other half is brought in by Dirac-string type contributions). Another notable feature is the absence of central extension in the angle-dependent $u(1)^2$-algebra. ",high energy physics theory
"  The global climate crisis poses new risks to humanity, and with them, new challenges to the practices of professional astronomy. Avoiding the more catastrophic consequences of global warming by more than 1.5 degrees requires an immediate reduction of greenhouse gas emissions. According to the 2018 United Nations Intergovernmental Panel report, this will necessitate a 45% reduction of emissions by 2030 and net-zero emissions by 2050. Efforts are required at all levels, from the individual to the governmental, and every discipline must find ways to achieve these goals. This will be especially difficult for astronomy with its significant reliance on conference and research travel, among other impacts. However, our long-range planning exercises provide the means to coordinate our response on a variety of levels. We have the opportunity to lead by example, rising to the challenge rather than reacting to external constraints.   We explore how astronomy can meet the challenge of a changing climate in clear and responsible ways, such as how we set expectations (for ourselves, our institutions, and our granting agencies) around scientific travel, the organization of conferences, and the design of our infrastructure. We also emphasize our role as reliable communicators of scientific information on a problem that is both human and planetary in scale. ",astrophysics
"  Motivated by the BPS/CFT correspondence, we explore the similarities between the classical $\beta$-deformed Hermitean matrix model and the $q$-deformed matrix models associated to 3d $\mathcal{N}=2$ supersymmetric gauge theories on $D^2\times_{q}S^1$ and $S_b^3$ by matching parameters of the theories. The novel results that we obtain are the correlators for the models, together with an additional result in the classical case consisting of the $W$-algebra representation of the generating function. Furthermore, we also obtain surprisingly simple expressions for the expectation values of characters which generalize previously known results. ",high energy physics theory
"  Leading- and trailing-edge serrations have been widely used to reduce the leading- and trailing-edge noise in applications such as contra-rotating fans and large wind turbines. Recent studies show that these two noise problems can be modelled analytically using the Wiener-Hopf method. However, the resulting models involve infinite-interval integrals that cannot be evaluated analytically, and consequently implementing them poses practical difficulty. This paper develops easily-implementable noise prediction models for flat plates with serrated leading and trailing edges, respectively. By exploiting the fact that high-order modes are cut-off and adjacent modes do not interfere in the far field except at sufficiently high frequencies, an infinite-interval integral involving two infinite sums is approximated by a single straightforward sum. Numerical comparison shows that the resulting models serve as excellent approximations to the original models. Good agreement is also achieved when the leading-edge model predictions are compared with experimental results for sawtooth serrations of various root-to-tip amplitudes. Importantly, the models developed in this paper can be evaluated robustly in a very efficient manner. For example, a typical far-field noise spectrum can be calculated within milliseconds for both the trailing- and leading-edge noise models on a standard desktop computer. Due to their efficiency and ease of numerical implementation, these models are expected to be of particular importance in applications where a numerical optimization is likely to be needed. ",physics
"  Deep Neural Networks (DNNs) show a significant impact on medical imaging. One significant problem with adopting DNNs for skin cancer classification is that the class frequencies in the existing datasets are imbalanced. This problem hinders the training of robust and well-generalizing models. Data Augmentation addresses this by using existing data more effectively. However, standard data augmentation implementations are manually designed and produce only limited reasonably alternative data. Instead, Generative Adversarial Networks (GANs) is utilized to generate a much broader set of augmentations. This paper proposes a novel enhancement for the progressive generative adversarial networks (PGAN) using self-attention mechanism. Self-attention mechanism is used to directly model the long-range dependencies in the feature maps. Accordingly, self-attention complements PGAN to generate fine-grained samples that comprise clinically-meaningful information. Moreover, the stabilization technique was applied to the enhanced generative model. To train the generative models, ISIC 2018 skin lesion challenge dataset was used to synthesize highly realistic skin lesion samples for boosting further the classification result. We achieve an accuracy of 70.1% which is 2.8% better than the non-augmented one of 67.3%. ",electrical engineering and systems science
